"activty" "subjectId" "variable" "value"
"laying" 19 "meanfrequencyBodyBodyaccelerationJerkmagnitudemean" -0.463697247065319
"laying" 19 "meanfrequencyBodyBodyaccelerationJerkmagnitudestandarddev" -0.546596600775887
"laying" 19 "meanfrequencyBodyBodygyroscopeJerkmagnitudemean" -0.645500585606383
"laying" 19 "meanfrequencyBodyBodygyroscopeJerkmagnitudestandarddev" -0.690258655705674
"laying" 19 "meanfrequencyBodyBodygyroscopemagnitudemean" -0.542929656906738
"laying" 19 "meanfrequencyBodyBodygyroscopemagnitudestandarddev" -0.578759700079787
"laying" 19 "meanfrequencyBodyaccelerationJerkmean-X" -0.48421303958461
"laying" 19 "meanfrequencyBodyaccelerationJerkmean-Y" -0.49177051765
"laying" 19 "meanfrequencyBodyaccelerationJerkmean-Z" -0.596987771010638
"laying" 19 "meanfrequencyBodyaccelerationJerkstandarddev-X" -0.475886085932979
"laying" 19 "meanfrequencyBodyaccelerationJerkstandarddev-Y" -0.460040238390355
"laying" 19 "meanfrequencyBodyaccelerationJerkstandarddev-Z" -0.656625512764504
"laying" 19 "meanfrequencyBodyaccelerationmagnitudemean" -0.442152560739255
"laying" 19 "meanfrequencyBodyaccelerationmagnitudestandarddev" -0.613439689329787
"laying" 19 "meanfrequencyBodyaccelerationmean-X" -0.477185043103227
"laying" 19 "meanfrequencyBodyaccelerationmean-Y" -0.400042026700426
"laying" 19 "meanfrequencyBodyaccelerationmean-Z" -0.557277430894504
"laying" 19 "meanfrequencyBodyaccelerationstandarddev-X" -0.456750917149291
"laying" 19 "meanfrequencyBodyaccelerationstandarddev-Y" -0.413717522581738
"laying" 19 "meanfrequencyBodyaccelerationstandarddev-Z" -0.60416090492695
"laying" 19 "meanfrequencyBodygyroscopemean-X" -0.436778112799291
"laying" 19 "meanfrequencyBodygyroscopemean-Y" -0.547965143065248
"laying" 19 "meanfrequencyBodygyroscopemean-Z" -0.500185710441915
"laying" 19 "meanfrequencyBodygyroscopestandarddev-X" -0.579925107574326
"laying" 19 "meanfrequencyBodygyroscopestandarddev-Y" -0.561207403280851
"laying" 19 "meanfrequencyBodygyroscopestandarddev-Z" -0.617567859386525
"laying" 19 "meantimeBodyaccelerationJerkmagnitudemean" -0.462907588320922
"laying" 19 "meantimeBodyaccelerationJerkmagnitudestandarddev" -0.496521162673404
"laying" 19 "meantimeBodyaccelerationJerkmean-X" 0.0779477317570567
"laying" 19 "meantimeBodyaccelerationJerkmean-Y" 0.01197467159536
"laying" 19 "meantimeBodyaccelerationJerkmean-Z" -0.00263531556095035
"laying" 19 "meantimeBodyaccelerationJerkstandarddev-X" -0.456033263519823
"laying" 19 "meantimeBodyaccelerationJerkstandarddev-Y" -0.45916968473617
"laying" 19 "meantimeBodyaccelerationJerkstandarddev-Z" -0.627422831732979
"laying" 19 "meantimeBodyaccelerationmagnitudemean" -0.410877683475496
"laying" 19 "meantimeBodyaccelerationmagnitudestandarddev" -0.498668963457695
"laying" 19 "meantimeBodyaccelerationmean-X" 0.268339183113475
